ID,Category,Product,Price,Quantity,Sales,Rating,Region,Month
1,Electronics,Laptop,850,120,102000,4.5,North,January
2,Electronics,Smartphone,650,200,130000,4.7,South,January
3,Clothing,Shirt,25,500,12500,4.2,East,January
4,Clothing,Jeans,55,300,16500,4.0,West,January
5,Food,Rice,15,1000,15000,4.8,North,January
6,Electronics,Tablet,400,150,60000,4.3,South,February
7,Electronics,Headphones,80,400,32000,4.6,East,February
8,Clothing,Jacket,90,180,16200,4.4,West,February
9,Food,Wheat,12,1200,14400,4.7,North,February
10,Food,Sugar,10,1500,15000,4.9,South,February
11,Electronics,Monitor,300,100,30000,4.2,East,March
12,Electronics,Keyboard,45,600,27000,4.5,West,March
13,Clothing,Shoes,70,250,17500,4.3,North,March
14,Clothing,Hat,20,700,14000,4.1,South,March
15,Food,Oil,18,900,16200,4.6,East,March
16,Electronics,Mouse,25,800,20000,4.4,West,April
17,Electronics,Camera,500,80,40000,4.8,North,April
18,Clothing,Dress,65,220,14300,4.0,South,April
19,Food,Salt,5,2000,10000,4.9,East,April
20,Food,Milk,8,1800,14400,4.7,West,April
21,Electronics,Speaker,120,350,42000,4.5,North,May
22,Electronics,Charger,20,1000,20000,4.3,South,May
23,Clothing,Gloves,15,600,9000,4.2,East,May
24,Clothing,Socks,10,900,9000,4.0,West,May
25,Food,Butter,12,1100,13200,4.8,North,May
26,Electronics,Laptop,870,130,113100,4.6,South,June
27,Electronics,Smartphone,680,210,142800,4.7,East,June
28,Clothing,Shirt,28,520,14560,4.3,West,June
29,Food,Rice,16,1050,16800,4.8,North,June
30,Electronics,Tablet,420,160,67200,4.4,South,June
31,Electronics,Headphones,85,420,35700,4.5,East,July
32,Clothing,Jeans,58,310,17980,4.1,West,July
33,Food,Wheat,13,1250,16250,4.7,North,July
34,Food,Sugar,11,1550,17050,4.9,South,July
35,Electronics,Monitor,320,110,35200,4.3,East,July
36,Clothing,Jacket,95,190,18050,4.4,West,August
37,Food,Oil,19,950,18050,4.6,North,August
38,Electronics,Mouse,27,850,22950,4.4,South,August
39,Electronics,Camera,520,90,46800,4.8,East,August
40,Clothing,Dress,68,230,15640,4.1,West,August
41,Food,Salt,6,2100,12600,4.9,North,September
42,Food,Milk,9,1900,17100,4.8,South,September
43,Electronics,Speaker,130,360,46800,4.6,East,September
44,Electronics,Charger,22,1050,23100,4.4,West,September
45,Clothing,Gloves,17,650,11050,4.3,North,September
46,Clothing,Socks,12,950,11400,4.1,South,October
47,Food,Butter,14,1150,16100,4.8,East,October
48,Electronics,Laptop,900,140,126000,4.7,West,October
49,Electronics,Smartphone,700,220,154000,4.8,North,October
50,Clothing,Shirt,30,550,16500,4.4,South,October
